indication,gene,n_cell_lines,mean_score_indication,mean_score_other,delta_mean,dep_frac_indication,dep_frac_other,p_fisher,p_ttest,p_wilcoxon,consensus_type
"AML, NOS",JAK2,4,-0.8710708053034022,0.12915908806124118,-1.0002298933646434,0.75,0.0024916943521594683,0.004846305068406383,2.7725613206298708e-40,5.187792787838884e-05,2-test (N<10)
"AML, NOS",RUNX1,4,-1.507186479767021,-0.007570296157984375,-1.4996161836090365,1.0,0.0340531561461794,0.010005892380893913,1.1031737703054014e-22,0.00024844994430923934,2-test (N<10)
"AML, NOS",GATA1,4,-0.8120294984940304,0.009319476757652686,-0.821348975251683,0.75,0.0049833887043189366,0.010005892380893913,1.7165879814008847e-28,4.855371114055034e-05,2-test (N<10)
Acute Myeloid Leukemia,MYB,23,-1.5550230934777098,-0.3612536116727881,-1.1937694818049218,0.9565217391304348,0.1029535864978903,4.08133442745499e-16,2.886252918283188e-48,2.5231748898234994e-10,3-test
Acute Myeloid Leukemia,CBFB,23,-1.4293143245475866,-0.2528439337182469,-1.1764703908293397,0.9565217391304348,0.16624472573839663,2.3423427767050885e-12,2.132056463060377e-27,9.7111448565876e-09,3-test
Acute Myeloid Leukemia,LMO2,23,-0.517816850332067,0.0031032645876509753,-0.520920114919718,0.4782608695652174,0.010126582278481013,3.945480854219191e-11,4.414246771067602e-39,1.2280874670137216e-08,3-test
Alveolar Rhabdomyosarcoma,PAX3,8,-1.5094563911255472,-0.02675964130379184,-1.4826967498217554,0.875,0.011666666666666667,1.2198317532102173e-08,1.258885991963673e-96,0.001193595057165869,2-test (N<10)
Alveolar Rhabdomyosarcoma,MYOD1,8,-1.442784081232544,-0.022791570124091057,-1.419992511108453,0.75,0.0033333333333333335,1.2198317532102173e-08,5.240802876353905e-91,0.0017701645353358597,2-test (N<10)
Alveolar Rhabdomyosarcoma,QKI,8,-0.7157035476519932,-0.026817973502497545,-0.6888855741494956,0.75,0.005,3.5679419603183116e-08,4.062406431462685e-21,0.0012710466107562388,2-test (N<10)
Alveolar Rhabdomyosarcoma,MYOG,8,-0.8878050632048098,0.031990391668816454,-0.9197954548736262,0.5,0.0,3.52568441891963e-06,2.189207724478777e-80,0.0012040774262501667,2-test (N<10)
Alveolar Rhabdomyosarcoma,SOX8,8,-0.5327862645581116,0.029238410026736238,-0.5620246745848478,0.375,0.0008333333333333334,0.002258788484387843,2.8884961317832604e-21,0.0011707097018296125,2-test (N<10)
Alveolar Rhabdomyosarcoma,DLL1,8,-0.7879045840937113,0.02061024313411625,-0.8085148272278276,0.375,0.0016666666666666668,0.004222042231368074,5.572832123668065e-30,0.012503952969720204,2-test (N<10)
Alveolar Rhabdomyosarcoma,ZBTB18,8,-0.8776624761094466,-0.07141226713370735,-0.8062502089757393,0.5,0.0125,0.005834943608372681,2.3130845953909196e-34,0.3308906227903777,2-test (N<10)
Alveolar Rhabdomyosarcoma,HDAC2,8,-0.7178543804080914,-0.022070255600138006,-0.6957841248079534,0.5,0.019166666666666665,0.023271571052153394,1.7053658729264978e-17,0.03622571526285709,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,PTPN2,7,-1.2120367930743652,0.07366492320401019,-1.2857017162783753,0.8571428571428571,0.005828476269775187,5.1649186367635236e-08,2.4849162662714752e-68,7.98021674820451e-09,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,BATF3,7,-0.8010831574146976,0.061562999478489505,-0.8626461568931871,0.5714285714285714,0.0016652789342214821,5.454914568194754e-05,6.028925807558821e-57,7.368568533646958e-09,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,STAT3,7,-1.4449758457136355,-0.10525797251574308,-1.3397178731978925,0.7142857142857143,0.014154870940882597,0.00011698245559824771,8.156397395990819e-70,8.281861194338188e-09,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,SBNO2,7,-0.9236155443970212,-0.012588181743295368,-0.9110273626537259,0.5714285714285714,0.005828476269775187,0.00047525555456816787,2.010166231929779e-24,1.5039488259943347e-08,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,CCND3,7,-1.3943593266641214,-0.34176512109905716,-1.0525942055650643,1.0,0.12156536219816819,0.0014210251950419585,2.9268987556622555e-11,0.00012596111061449614,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,IKZF1,7,-0.7628689203579003,0.03305449465067409,-0.7959234150085744,0.5714285714285714,0.01498751040799334,0.007360327230410358,1.5010778990672766e-28,0.0021695206065364576,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,PTPN1,7,-1.0462151352543367,-0.17385342428244532,-0.8723617109718914,0.7142857142857143,0.0466278101582015,0.01250151025995304,9.016431855095334e-15,0.00016713539795199013,2-test (N<10)
Anaplastic Large-Cell Lymphoma ALK Positive,ATP1B3,7,-1.4926346266616808,-0.39356032805277624,-1.0990742986089046,1.0,0.1806827643630308,0.014281157019098448,1.992244633363282e-11,0.0006383825094393733,2-test (N<10)
"Astrocytoma, IDH-Mutant",RPP25L,16,-1.1207073931860185,-0.4597238293785316,-0.6609835638074869,0.875,0.27768456375838924,0.023449884913679817,1.1237954496692855e-05,0.010385157302900818,3-test
Atypical Teratoid/Rhabdoid Tumor,SMARCD1,16,-0.8165117961118612,-0.20796046800610288,-0.6085513281057583,0.875,0.09395973154362416,1.6922501672466993e-08,1.9621800071039503e-12,3.7499645095133474e-05,3-test
Atypical Teratoid/Rhabdoid Tumor,ZMYM3,16,-0.6264752443040629,-0.1392719883390939,-0.48720325596496894,0.5625,0.028523489932885907,2.2554670364087765e-06,1.371988858289458e-13,4.07554743661775e-05,3-test
Atypical Teratoid/Rhabdoid Tumor,NABP2,16,-0.6349103973119832,-0.15067886483865076,-0.4842315324733324,0.5,0.016778523489932886,2.2554670364087765e-06,7.303024045272882e-22,0.0001448837765246695,3-test
B-Cell Acute Lymphoblastic Leukemia,EBF1,13,-1.3462952838931581,-0.10111919717133208,-1.245176086721826,1.0,0.03598326359832636,1.9828093923783246e-14,1.0303402992855497e-51,9.758536095527198e-06,3-test
B-Cell Acute Lymphoblastic Leukemia,PAX5,13,-0.8742345779346326,-0.07945489296464726,-0.7947796849699853,0.8461538461538461,0.027615062761506277,1.82402979621244e-11,2.656568295724805e-38,9.758536095527198e-06,3-test
B-Cell Acute Lymphoblastic Leukemia,RUNX1,13,-0.8681204977244165,-0.00322829792708272,-0.8648921997973338,0.7692307692307693,0.029288702928870293,2.206152799239573e-09,1.1916607601650282e-24,9.758536095527198e-06,3-test
B-Cell Acute Lymphoblastic Leukemia,MYB,13,-1.6057765406139917,-0.37069118489896175,-1.2350853557150299,1.0,0.1096234309623431,2.207701838588675e-09,5.09629801660654e-28,9.758536095527198e-06,3-test
B-Cell Acute Lymphoblastic Leukemia,CCND3,13,-1.3648782726412956,-0.3368008436671796,-1.028077428974116,1.0,0.11715481171548117,4.185073002932839e-09,1.9766905431345758e-21,9.758536095527198e-06,3-test
Bladder Urothelial Carcinoma,SOX4,30,-0.2619186675830092,-0.017415362551407448,-0.24450330503160175,0.2,0.007640067911714771,0.010614254687368197,1.0430078526238815e-09,0.016842722773020014,3-test
Burkitt Lymphoma,PAX5,5,-0.9968949749308577,-0.08423040044160382,-0.9126645744892539,1.0,0.032418952618453865,0.0009086192416758588,9.813059451641405e-18,6.45063036454247e-05,2-test (N<10)
Burkitt Lymphoma,CYB561A3,5,-0.8307859030473637,-0.0933257024670509,-0.7374602005803128,0.8,0.010806317539484621,0.0010652955034282476,7.521336066605507e-21,4.1812492092481725e-05,2-test (N<10)
Burkitt Lymphoma,MEF2B,5,-0.7851088768380458,-0.1617671309041585,-0.6233417459338872,0.8,0.014131338320864505,0.0011921639189704483,1.3150333372789928e-14,4.870977608287176e-05,2-test (N<10)
Burkitt Lymphoma,SYNJ1,5,-0.37062667575937897,0.08179490257848168,-0.4524215783378607,0.4,0.0,0.028755002435753553,1.1985742034619605e-10,0.33871247788750974,2-test (N<10)
Cervical Squamous Cell Carcinoma,ZER1,13,-1.1750521673884684,-0.1296780186370085,-1.0453741487514598,0.9230769230769231,0.009205020920502092,1.624360392832907e-17,8.022860692986547e-80,0.00041269229617652535,3-test
Cervical Squamous Cell Carcinoma,UBE3A,13,-0.7888822169281677,-0.08407987894472951,-0.7048023379834383,0.8461538461538461,0.009205020920502092,2.5149092621086503e-15,2.0399011580860927e-43,0.00038136734015873535,3-test
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,CDKN2AIP,4,-0.8893397352164665,-0.10715740142232602,-0.7821823337941405,1.0,0.016611295681063124,0.0010703977895839998,4.4505379955287004e-12,3.9084730129737615e-05,2-test (N<10)
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,ITSN2,4,-0.7991078090168984,-0.013450927695905007,-0.7856568813209933,1.0,0.015780730897009966,0.0010703977895839998,5.7122389292640615e-15,0.00051844349931542,2-test (N<10)
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,RBPJ,4,-1.1177962311390135,-0.11358734837846028,-1.0042088827605533,1.0,0.020764119601328904,0.0015950196311192418,4.4522549564983896e-17,0.00012813344516759344,2-test (N<10)
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,LRWD1,4,-0.7050749592097252,-0.17270403089131103,-0.5323709283184141,0.75,0.005813953488372093,0.0058010604090498194,4.4505379955287004e-12,0.001086112268708327,2-test (N<10)
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,BATF,4,-0.5494316935481764,0.021424525746654446,-0.5708562192948309,0.75,0.006644518272425249,0.006642893114447288,3.9744969178292174e-14,0.005948669063388587,2-test (N<10)
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,EBF1,4,-1.3158982118882618,-0.11052797878970089,-1.205370233098561,1.0,0.04318936877076412,0.008221896064920579,5.54182221780711e-13,0.0020187061644328396,2-test (N<10)
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,SH3GL1,4,-1.3995668786066544,-0.19292321611858876,-1.2066436624880656,1.0,0.04235880398671096,0.008221896064920579,4.4522549564983896e-17,0.0004071661834649471,2-test (N<10)
"Chronic Myeloid Leukemia, BCR-ABL1+",ABL1,10,-1.37875855209393,-0.016302346261596486,-1.3624562058323335,0.9,0.00333889816360601,4.327194914177535e-15,4.107081361667253e-107,0.0036574826383365096,3-test
"Chronic Myeloid Leukemia, BCR-ABL1+",BCR,10,-1.1621333674746848,0.05734496657942262,-1.2194783340541073,0.8,0.0,4.327194914177535e-15,1.45716187042946e-122,0.000569502196013992,3-test
"Chronic Myeloid Leukemia, BCR-ABL1+",STAT5B,10,-0.9042937725507768,-0.16855285158847336,-0.7357409209623035,0.7,0.012520868113522538,1.603982475369188e-07,9.909637574739195e-43,0.004627473271542915,3-test
"Chronic Myeloid Leukemia, BCR-ABL1+",GAB2,10,-1.2325061002806255,-0.18707816114243006,-1.0454279391381953,0.8,0.028380634390651086,2.042491041657256e-07,1.962329208117413e-53,0.000569502196013992,3-test
Clear Cell Ovarian Cancer,PAX8,8,-1.2926372304561264,-0.1791995807713749,-1.1134376496847516,0.75,0.06166666666666667,0.026722250598438756,4.358463892040975e-17,0.06567253058360138,2-test (N<10)
Clear Cell Ovarian Cancer,MECOM,8,-0.5501133443551693,0.023026142149407392,-0.5731394865045767,0.5,0.0125,0.026722250598438756,1.223782181772672e-11,0.484825378013407,2-test (N<10)
Clear Cell Ovarian Cancer,KIDINS220,8,-0.9200591454539463,-0.0717843095830347,-0.8482748358709116,0.625,0.03833333333333333,0.0338806528910013,5.6832163811978215e-18,0.16297008215738443,2-test (N<10)
Colon Adenocarcinoma,CTNNB1,48,-1.2628931888483816,-0.20524295367808476,-1.0576502351702968,0.75,0.07155172413793104,1.4355358343567735e-24,2.44330300965995e-78,2.967212277464171e-15,3-test
Colon Adenocarcinoma,TCF7L2,48,-0.7108499420429318,-0.07841131977709345,-0.6324386222658384,0.625,0.039655172413793106,5.66849794240701e-23,3.856164110909409e-54,1.5980187867426655e-12,3-test
Colon Adenocarcinoma,KLF5,48,-0.9532274753570675,-0.3783529723395058,-0.5748745030175617,0.5833333333333334,0.20172413793103447,4.8722629606880505e-05,1.9397539014028563e-15,1.2264979931040302e-07,3-test
Cutaneous Melanoma,SOX10,8,-1.5914638504574876,-0.38610030819332586,-1.2053635422641618,1.0,0.09416666666666666,0.00014925641264466896,9.28234923003183e-11,1.4181523345094861e-05,2-test (N<10)
"Diffuse Large B-Cell Lymphoma, NOS",EBF1,16,-1.3870404063320374,-0.09743845034315461,-1.2896019559888827,0.9375,0.034395973154362415,3.78301751994414e-16,5.999341897420968e-71,2.3544113595288815e-07,3-test
"Diffuse Large B-Cell Lymphoma, NOS",PAX5,16,-0.9971596015541321,-0.07580460820556843,-0.9213549933485636,0.8125,0.026006711409395974,1.3798113936572585e-13,1.359647004908312e-67,3.145825788372092e-06,3-test
"Diffuse Large B-Cell Lymphoma, NOS",SH3GL1,16,-1.2383102158907733,-0.18294031566019722,-1.055369900230576,0.8125,0.03523489932885906,1.8782242361509884e-12,3.524755491340463e-61,4.823892216380156e-07,3-test
"Diffuse Large B-Cell Lymphoma, NOS",CYB561A3,16,-0.6852832474877715,-0.08847333693229421,-0.5968099105554773,0.5,0.007550335570469799,6.048615828781121e-09,5.428993680026167e-49,4.724875657874044e-06,3-test
Endometrial Carcinoma,PAX8,20,-0.7903014498790601,-0.17640956714791048,-0.6138918827311497,0.65,0.0563973063973064,1.7150549038543218e-07,8.89698959671908e-12,0.0013656603805715952,3-test
Esophageal Squamous Cell Carcinoma,TIMM17A,24,-0.8082108132104938,-0.3244619922445543,-0.4837488209659395,0.6666666666666666,0.125,3.368081583983987e-05,3.2411584564171613e-10,0.0002603782594609205,3-test
Esophageal Squamous Cell Carcinoma,ADAR,24,-0.9860092273383995,-0.48622605279613057,-0.4997831745422689,0.7916666666666666,0.3015202702702703,0.009852318899284646,2.766576693129292e-06,0.0003268333206502333,3-test
